source,target,weight,correlation,col
B3,B209,0.709805606,-0.709805606,-1
B3,B210,0.709151776,-0.709151776,-1
B3,B211,0.72350807,-0.72350807,-1
B3,B212,0.701781386,-0.701781386,-1
B3,B223,0.915234706,0.915234706,1
B3,B225,0.676063897,-0.676063897,-1
B3,B228,0.817373364,-0.817373364,-1
B3,B233,0.785167079,-0.785167079,-1
B3,B235,0.719388875,-0.719388875,-1
B3,B236,0.761546697,-0.761546697,-1
B3,B241,0.833415711,0.833415711,1
B3,B243,0.749457116,-0.749457116,-1
B3,B244,0.823527132,-0.823527132,-1
B3,B247,0.805217391,-0.805217391,-1
B3,B249,0.628323931,0.628323931,1
B3,B254,0.72574786,0.72574786,1
B3,B257,0.786507539,0.786507539,1
B3,B261,0.79208359,-0.79208359,-1
B3,B265,0.831843326,-0.831843326,-1
B3,B273,0.815572065,0.815572065,1
B3,B278,0.778712936,-0.778712936,-1
B3,B280,0.762180867,-0.762180867,-1
B3,B281,0.805217902,-0.805217902,-1
B3,B284,0.674167024,-0.674167024,-1
B3,B285,0.86052304,0.86052304,1
B3,B291,0.911937399,0.911937399,1
B3,B292,0.803742784,-0.803742784,-1
B3,B293,0.842954837,-0.842954837,-1
B3,B295,0.70418513,-0.70418513,-1
B3,B298,0.774639441,-0.774639441,-1
B3,B299,0.714751541,-0.714751541,-1
B3,B300,0.87046632,0.87046632,1
B3,B301,0.832720286,0.832720286,1
B3,B305,0.772547657,-0.772547657,-1
B3,B311,0.644950474,-0.644950474,-1
B3,B323,0.775828343,-0.775828343,-1
B3,B325,0.802414349,-0.802414349,-1
B3,B326,0.804995094,-0.804995094,-1
B3,B329,0.902006752,-0.902006752,-1
B3,B332,0.767433209,-0.767433209,-1
B3,B333,0.647706859,-0.647706859,-1
B3,B336,0.807682839,-0.807682839,-1
B3,B337,0.68566471,-0.68566471,-1
B3,B339,0.766359676,-0.766359676,-1
B3,B349,0.721717987,-0.721717987,-1
B3,B351,0.877415526,-0.877415526,-1
B3,B353,0.643379539,-0.643379539,-1
B3,B354,0.896268376,-0.896268376,-1
B3,B357,0.788357533,-0.788357533,-1
B3,B360,0.648201807,-0.648201807,-1
B3,B365,0.842791017,-0.842791017,-1
B3,B366,0.723623731,-0.723623731,-1
B3,B369,0.687498323,-0.687498323,-1
B3,B371,0.607873936,-0.607873936,-1
B3,B372,0.778916766,-0.778916766,-1
B3,B376,0.755631445,-0.755631445,-1
B3,B378,0.742707436,-0.742707436,-1
B3,B379,0.757942594,-0.757942594,-1
B3,B384,0.779538108,-0.779538108,-1
B3,B385,0.737645098,0.737645098,1
B3,B388,0.689881109,-0.689881109,-1
B3,B392,0.790989593,-0.790989593,-1
B3,B393,0.869006421,-0.869006421,-1
B3,B394,0.733425061,-0.733425061,-1
B3,B399,0.725294102,-0.725294102,-1
B3,B411,0.819565301,-0.819565301,-1
B3,B418,0.736823822,-0.736823822,-1
B3,B422,0.794853244,-0.794853244,-1
B3,B423,0.757276832,-0.757276832,-1
B3,B429,0.817863496,-0.817863496,-1
B3,B441,0.886538698,-0.886538698,-1
B3,B452,0.754627482,-0.754627482,-1
B3,B455,0.832937882,-0.832937882,-1
B3,B456,0.704356287,-0.704356287,-1
B3,B460,0.670886905,-0.670886905,-1
B3,B465,0.723249774,-0.723249774,-1
B3,B466,0.806121223,-0.806121223,-1
B3,B467,0.73200041,-0.73200041,-1
B3,B468,0.768768442,-0.768768442,-1
B3,B473,0.854158325,-0.854158325,-1
B3,B475,0.886563544,-0.886563544,-1
B3,B479,0.684508527,-0.684508527,-1
B3,B484,0.834143637,-0.834143637,-1
B3,B487,0.737290053,0.737290053,1
B3,B493,0.823245092,-0.823245092,-1
B3,B496,0.792345851,-0.792345851,-1
B3,B510,0.759801492,-0.759801492,-1
B3,B517,0.824637668,0.824637668,1
B3,B519,0.777903869,-0.777903869,-1
B3,B520,0.808856243,-0.808856243,-1
B3,B523,0.756648746,-0.756648746,-1
B3,B532,0.74,-0.74,-1
B3,B539,0.82578647,0.82578647,1
B3,B541,0.865892393,-0.865892393,-1
B3,B543,0.819440234,-0.819440234,-1
B3,B546,0.676816071,-0.676816071,-1
B3,B549,0.79290986,-0.79290986,-1
B3,B552,0.702637258,-0.702637258,-1
B3,B553,0.703388702,-0.703388702,-1
B3,B554,0.83313509,0.83313509,1
B3,B558,0.854854397,-0.854854397,-1
B3,B560,0.745665753,-0.745665753,-1
B3,B563,0.793162921,-0.793162921,-1
B3,B564,0.830028436,-0.830028436,-1
B3,B573,0.85702124,0.85702124,1
B3,B575,0.860455693,-0.860455693,-1
B3,B581,0.83092871,-0.83092871,-1
B3,B587,0.756521739,-0.756521739,-1
B3,B590,0.671304348,-0.671304348,-1
B3,B592,0.855965654,-0.855965654,-1
B3,B596,0.670434783,0.670434783,1
B3,B598,0.745217391,-0.745217391,-1
B3,B600,0.845003929,-0.845003929,-1
B3,B601,0.682639243,-0.682639243,-1
B3,B602,0.87819873,-0.87819873,-1
B3,B603,0.836160219,-0.836160219,-1
B3,B606,0.835928425,0.835928425,1
B3,B609,0.796336587,-0.796336587,-1
B3,B613,0.823645836,-0.823645836,-1
B3,B617,0.769917359,-0.769917359,-1
B3,B621,0.793695897,-0.793695897,-1
B3,B622,0.708622624,-0.708622624,-1
B3,B624,0.629107718,0.629107718,1
B3,B629,0.680345069,-0.680345069,-1
B3,B632,0.865776996,0.865776996,1
B3,B635,0.84858494,-0.84858494,-1
B3,B641,0.809929092,0.809929092,1
B3,B642,0.762657351,-0.762657351,-1
B3,B643,0.773913043,0.773913043,1
B3,B652,0.67164737,-0.67164737,-1
B3,B654,0.612173913,0.612173913,1
B3,B656,0.846757345,-0.846757345,-1
B3,B661,0.789616347,-0.789616347,-1
B3,B662,0.74041638,-0.74041638,-1
B3,B663,0.71391582,-0.71391582,-1
B3,B667,0.646674148,-0.646674148,-1
B3,F9,0.751693018,0.751693018,1
B3,F29,0.631304348,0.631304348,1
B3,F36,0.628229185,-0.628229185,-1
B3,F41,0.667538332,-0.667538332,-1
B3,F56,0.814702121,-0.814702121,-1
B3,F68,0.788248562,-0.788248562,-1
B3,F72,0.72125545,-0.72125545,-1
B3,F78,0.628969177,0.628969177,1
B3,F84,0.844966317,-0.844966317,-1
B3,F87,0.729807074,0.729807074,1
B3,F88,0.606802424,-0.606802424,-1
B3,F91,0.688771407,0.688771407,1
B3,F101,0.769297692,0.769297692,1
B3,F103,0.730880287,0.730880287,1
B3,F104,0.653495044,-0.653495044,-1
B3,F106,0.719042863,-0.719042863,-1
B3,F125,0.702678602,-0.702678602,-1
B3,F139,0.737934515,0.737934515,1
B3,F144,0.678555958,-0.678555958,-1
B3,F149,0.709003982,-0.709003982,-1
B3,F160,0.760869565,-0.760869565,-1
B3,F161,0.754676017,-0.754676017,-1
B3,F163,0.671974955,-0.671974955,-1
B3,F197,0.800608847,0.800608847,1
B3,F218,0.60526959,0.60526959,1
B3,F230,0.819694494,-0.819694494,-1
B3,F233,0.687404976,0.687404976,1
B3,F249,0.644038884,-0.644038884,-1
B3,F266,0.846705826,0.846705826,1
B3,F268,0.710927903,0.710927903,1
B3,F298,0.76,0.76,1
B3,F301,0.617161215,0.617161215,1
B3,F307,0.677733955,-0.677733955,-1
B3,F315,0.718162533,-0.718162533,-1
B3,F320,0.657788767,-0.657788767,-1
B3,F321,0.64649598,-0.64649598,-1
B3,F322,0.782924859,-0.782924859,-1
B3,F328,0.78173913,-0.78173913,-1
B3,F338,0.654650768,0.654650768,1
B3,F351,0.767944432,-0.767944432,-1
B3,F366,0.696106304,0.696106304,1
B3,F374,0.671627897,-0.671627897,-1
B3,F388,0.698040872,-0.698040872,-1
B3,F399,0.667246692,-0.667246692,-1
B3,F408,0.851739787,-0.851739787,-1
B3,F410,0.765383797,0.765383797,1
B3,F419,0.635663479,-0.635663479,-1
B3,F422,0.68759814,-0.68759814,-1
B3,F429,0.82173913,0.82173913,1
B3,F437,0.631304348,0.631304348,1
B3,F443,0.744833746,0.744833746,1
B3,A15,0.722608696,0.722608696,1
B3,A24,0.691889558,0.691889558,1
B3,A25,0.767394765,0.767394765,1
B3,A38,0.730434783,-0.730434783,-1
B3,P1,0.665941777,-0.665941777,-1
B3,P3,0.819864579,0.819864579,1
B3,P7,0.672766474,-0.672766474,-1
B3,P8,0.646514323,-0.646514323,-1
B3,P20,0.752079134,0.752079134,1
B3,P21,0.649664698,-0.649664698,-1
B3,P25,0.796868279,0.796868279,1
B3,P26,0.777151463,0.777151463,1
B3,P31,0.803543122,-0.803543122,-1
B3,P32,0.68379687,-0.68379687,-1
B3,P41,0.775068039,0.775068039,1
B3,P44,0.72981794,-0.72981794,-1
B3,P45,0.68,-0.68,-1
B3,P50,0.715905838,0.715905838,1
B3,P51,0.737146002,0.737146002,1
B3,P52,0.724108194,-0.724108194,-1
B3,P54,0.869073592,0.869073592,1
B3,P56,0.774456955,0.774456955,1
B3,P60,0.630043952,0.630043952,1
B3,P62,0.607920161,-0.607920161,-1
B3,P65,0.711534338,-0.711534338,-1
B3,P68,0.768568053,-0.768568053,-1
B3,P76,0.811304348,-0.811304348,-1
B3,P77,0.819051839,-0.819051839,-1
B3,P86,0.800348053,-0.800348053,-1
B3,P93,0.821226698,0.821226698,1
B3,P96,0.788010849,-0.788010849,-1
B3,P98,0.60208352,-0.60208352,-1
B3,P99,0.7501175,-0.7501175,-1
B3,P104,0.6637775,-0.6637775,-1
B3,P106,0.855252016,-0.855252016,-1
B3,P112,0.82637107,0.82637107,1
B3,P121,0.800097496,-0.800097496,-1
B3,P125,0.650035714,-0.650035714,-1
B3,P126,0.667955365,-0.667955365,-1
B3,P128,0.822275572,0.822275572,1
B3,P130,0.626288795,-0.626288795,-1
B3,P131,0.639668308,0.639668308,1
B3,P137,0.815566983,-0.815566983,-1
B3,P140,0.777681326,0.777681326,1
B3,P144,0.692371645,0.692371645,1
B3,P145,0.779543443,0.779543443,1
B3,P146,0.759063037,0.759063037,1
B3,P151,0.658569906,-0.658569906,-1
B3,P155,0.774782609,-0.774782609,-1
B3,P156,0.811542575,-0.811542575,-1
B3,P160,0.689565217,0.689565217,1
B3,P164,0.772865904,-0.772865904,-1
B3,P175,0.714561057,0.714561057,1
B3,P179,0.72960642,0.72960642,1
B3,P191,0.751088187,0.751088187,1
B3,BN2,0.618737852,0.618737852,1
B3,BN6,0.738984342,-0.738984342,-1
B3,BN10,0.710234168,-0.710234168,-1
B3,OP8,0.708341656,-0.708341656,-1
B3,OP10,0.652975232,-0.652975232,-1
B9,B10,0.837467442,0.837467442,1
B9,B12,0.65431716,0.65431716,1
B9,B14,0.791273933,0.791273933,1
B9,B16,0.759730394,0.759730394,1
B9,B19,0.781353022,-0.781353022,-1
B9,B25,0.687079583,-0.687079583,-1
B9,B28,0.800829607,0.800829607,1
B9,B31,0.648825127,-0.648825127,-1
B9,B33,0.772723603,-0.772723603,-1
B9,B37,0.884532934,-0.884532934,-1
B9,B38,0.73890825,-0.73890825,-1
B9,B45,0.719785029,-0.719785029,-1
B9,B48,0.819810627,-0.819810627,-1
B9,B53,0.643609336,-0.643609336,-1
B9,B65,0.70342635,-0.70342635,-1
B9,B67,0.792300023,-0.792300023,-1
B9,B68,0.78136696,-0.78136696,-1
B9,B70,0.784849951,-0.784849951,-1
B9,B72,0.769030613,-0.769030613,-1
B9,B79,0.687037843,-0.687037843,-1
B9,B80,0.737187474,-0.737187474,-1
B9,B81,0.827043591,0.827043591,1
B9,B84,0.677818291,-0.677818291,-1
B9,B87,0.81437247,-0.81437247,-1
B9,B101,0.901597672,0.901597672,1
B9,B106,0.851297481,-0.851297481,-1
B9,B114,0.745755616,-0.745755616,-1
B9,B123,0.795015982,-0.795015982,-1
B9,B124,0.643618193,-0.643618193,-1
B9,B126,0.847584004,-0.847584004,-1
B9,B131,0.926580928,0.926580928,1
B9,B140,0.703362609,-0.703362609,-1
B9,B143,0.69136168,-0.69136168,-1
B9,B146,0.707460869,-0.707460869,-1
B9,B149,0.724505344,0.724505344,1
B9,B152,0.788857214,-0.788857214,-1
B9,B155,0.702217365,-0.702217365,-1
B9,B158,0.620638205,-0.620638205,-1
B9,B163,0.831144443,-0.831144443,-1
B9,B171,0.628099174,0.628099174,1
B9,B175,0.80059589,-0.80059589,-1
B9,B179,0.73066168,0.73066168,1
B9,B181,0.817583833,-0.817583833,-1
B9,B184,0.714972981,-0.714972981,-1
B9,B201,0.720742941,-0.720742941,-1
B9,B203,0.640734127,-0.640734127,-1
B9,B205,0.847443053,0.847443053,1
B9,B206,0.735262145,0.735262145,1
B9,B209,0.716061521,-0.716061521,-1
B9,B210,0.760037192,-0.760037192,-1
