genus	NPK1	NPK2	NPK3	NPK4	NPK5	NPK6	NPKM1	NPKM2	NPKM3	NPKM4	NPKM5	NPKM6
P35	5.589477163	4.726905566	5.672271993	2.620098399	3.253634895	2.568879424	362.146534	314.9642018	358.172529	377.6942282	509.3869878	329.5105008
P36	219.8527684	242.6478191	217.9773094	381.6610001	248.0896607	341.6609634	415.9973197	796.2039213	1365.427669	457.465854	785.9682038	705.6184462
P38	4.347371126	3.151270377	4.051622852	4.366830665	7.320678514	18.83844911	32.31047143	39.97007637	35.31278455	35.81583199	35.81627258	33.28388897
P39	45.33687032	55.9350492	47.80914965	92.5768101	110.6235864	76.21008959	16.15523572	46.36528859	38.67590689	35.81583199	63.67337348	23.29872228
P40	39.12634014	33.87615656	55.10207079	121.3978925	121.1978998	122.4499192	9.423887502	17.5868336	16.81561169	8.139961815	33.82647966	16.64194449
P41	0	1.575635189	1.620649141	0.873366133	0.813408724	4.281465707	4.038808929	7.994015274	5.044683507	0	0	1.664194449
P42	21.73685563	64.60104274	56.72271993	30.56781466	42.29725363	108.749229	232.9046483	246.2156704	223.6476355	273.502717	226.836393	327.8463064
P43	5.589477163	7.878175944	9.723894845	6.113562931	3.253634895	3.425172566	5.385078572	1.598803055	5.044683507	16.27992363	3.979585842	3.328388897
P44	3.10526509	6.302540755	21.8787634	0	9.760904685	11.98810398	49.8119768	52.76050081	47.08371273	55.35174034	53.72440887	38.27647232
P45	0	0	0	0	0	0	60.58213394	31.9760611	55.49151858	47.21177853	47.75503011	46.59744456
P46	0	0	0	0.873366133	0	0.856293141	1.346269643	4.796409164	3.363122338	3.255984726	11.93875753	3.328388897
P48	2.484212072	0	0.81032457	0.873366133	1.626817447	6.850345131	10.77015714	3.19760611	5.044683507	1.627992363	3.979585842	9.985166691
P49	0	0	0	0	0.813408724	1.712586283	5.385078572	4.796409164	3.363122338	9.767954178	7.959171685	3.328388897
P50	101.2316419	69.3279483	388.9557938	89.95671171	115.5040388	106.1803495	165.5911661	209.4432002	591.9095315	203.4990454	425.8156851	251.2933617
P55	14.28421942	7.090358349	12.96519313	9.607027464	21.96203554	22.26362168	35.00301072	35.17366721	31.94966221	17.90791599	11.93875753	29.95550007
P56	1.863159054	0	1.620649141	1.746732266	2.440226171	1.712586283	9.423887502	0	1.681561169	3.255984726	19.89792921	4.992583346
P57	1.242106036	0.787817594	44.56785137	0	11.38772213	0	16.15523572	9.592818329	35.31278455	30.9318549	73.62233808	14.97775004
P58	74.52636217	98.47719929	29.17168454	23.58088559	29.28271405	66.79086503	1.346269643	0	0	1.627992363	0	0
P60	70.80004406	68.54013071	83.46343075	123.1446248	101.6760905	71.92862388	84.81498752	84.7365619	94.16742547	76.51564106	127.346747	76.55294463
P62	1.863159054	1.575635189	8.103245704	4.366830665	5.693861066	5.137758849	1.346269643	9.592818329	6.726244676	3.255984726	11.93875753	8.320972243
P63	9.936848289	2.363452783	0.81032457	3.493464532	8.134087237	0.856293141	153.4747393	148.6886841	158.0667499	92.79556469	185.0507417	153.1058893
P64	36.64212807	45.69342047	29.98200911	27.94771626	10.57431341	26.54508738	363.4928036	383.7127331	474.2002497	284.8986635	278.571009	334.5030842
P65	3.726318108	1.575635189	1.620649141	6.113562931	3.253634895	12.84439712	1.346269643	7.994015274	18.49717286	11.39594654	11.93875753	9.985166691
P66	1.863159054	0.787817594	3.241298282	13.97385813	1.626817447	1.712586283	0	0	3.363122338	0	5.969378763	1.664194449
P68	16.14737847	51.99596123	29.98200911	53.27533412	49.61793215	61.65310618	48.46570715	148.6886841	159.7483111	81.39961815	119.3875753	64.90358349
P69	0.621053018	0	0.81032457	0	4.067043619	2.568879424	2.692539286	7.994015274	10.08936701	8.139961815	3.979585842	6.656777794
P70	88.81058158	96.11374651	89.94602732	132.7516522	142.3465267	90.76707299	53.85078572	43.16768248	67.26244676	53.72374798	61.68358056	54.9184168
P71	0	0	0	0	0	0	16.15523572	12.79042444	15.13405052	17.90791599	19.89792921	19.97033338
P72	1.863159054	0	0.81032457	0.873366133	0	0.856293141	32.31047143	38.37127331	57.17307975	76.51564106	280.5608019	41.60486121
P73	6.831583199	11.81726392	23.49941254	27.07435012	19.52180937	9.419224556	8.077617859	9.592818329	6.726244676	11.39594654	17.90813629	13.31355559
P74	435.3581657	67.75231312	42.13687766	61.13562931	61.819063	25.68879424	395.8032751	295.7785651	280.8207152	833.5320899	391.9892055	514.2360846
P76	234.1369878	278.8874284	221.2186077	419.2157439	386.3691438	295.4211338	131.934425	158.2815024	203.4689015	122.0994272	304.4383169	179.7330004
P78	20.4947496	38.60306212	46.99882508	14.84722426	164.3085622	46.23982964	126.5493465	39.97007637	258.96042	190.4751065	632.7541489	63.23938904
P79	10.55790131	14.1807167	129.6519313	10.4803936	26.02907916	14.5569834	8.077617859	7.994015274	1.681561169	3.255984726	1.989792921	6.656777794
P80	0	0	0	0	0	0	6.731348216	1.598803055	15.13405052	4.883977089	9.948964606	8.320972243
P81	0	0	0	0	1.626817447	2.568879424	56.54332501	36.77247026	45.40215156	19.53590836	47.75503011	33.28388897
P82	4.968424144	13.3928991	5.672271993	2.620098399	0.813408724	1.712586283	40.38808929	52.76050081	16.81561169	21.16390072	25.86730797	26.62711118
P84	0	0	0	0	0	0	18.847775	15.98803055	8.407805845	4.883977089	7.959171685	1.664194449
P85	77.63162726	93.75029373	68.06726392	132.7516522	161.0549273	100.1862975	1.346269643	3.19760611	10.08936701	3.255984726	7.959171685	8.320972243
P86	5.589477163	7.878175944	5.672271993	3.493464532	4.067043619	23.11991482	18.847775	23.98204582	5.044683507	6.511969452	1.989792921	11.64936114
P87	6.210530181	13.3928991	8.103245704	3.493464532	13.01453958	20.55103539	24.23285358	41.56887942	28.58653987	11.39594654	27.8571009	14.97775004
